,Bill Date,State,County,Pandemic cases Cumulative
0,2021-01-01,New York,New York,0
1,2021-01-02,New York,New York,0
2,2021-01-03,New York,New York,0
3,2021-01-04,New York,New York,0
4,2021-01-05,New York,New York,0
5,2021-01-06,New York,New York,0
6,2021-01-07,New York,New York,0
7,2021-01-08,New York,New York,0
8,2021-01-09,New York,New York,0
9,2021-01-10,New York,New York,0
10,2021-01-11,New York,New York,0
11,2021-01-12,New York,New York,0
12,2021-01-13,New York,New York,0
13,2021-01-14,New York,New York,0
14,2021-01-15,New York,New York,0
15,2021-01-16,New York,New York,0
16,2021-01-17,New York,New York,0
17,2021-01-18,New York,New York,0
18,2021-01-19,New York,New York,0
19,2021-01-20,New York,New York,0
20,2021-01-21,New York,New York,0
21,2021-01-22,New York,New York,0
22,2021-01-23,New York,New York,0
23,2021-01-24,New York,New York,0
24,2021-01-25,New York,New York,0
25,2021-01-26,New York,New York,0
26,2021-01-27,New York,New York,0
27,2021-01-28,New York,New York,0
28,2021-01-29,New York,New York,0
29,2021-01-30,New York,New York,0
30,2021-01-31,New York,New York,0
31,2021-02-01,New York,New York,0
32,2021-02-02,New York,New York,0
33,2021-02-03,New York,New York,0
34,2021-02-04,New York,New York,0
35,2021-02-05,New York,New York,0
36,2021-02-06,New York,New York,0
37,2021-02-07,New York,New York,0
38,2021-02-08,New York,New York,0
39,2021-02-09,New York,New York,0
40,2021-02-10,New York,New York,0
41,2021-02-11,New York,New York,0
42,2021-02-12,New York,New York,0
43,2021-02-13,New York,New York,0
44,2021-02-14,New York,New York,0
45,2021-02-15,New York,New York,0
46,2021-02-16,New York,New York,0
47,2021-02-17,New York,New York,0
48,2021-02-18,New York,New York,0
49,2021-02-19,New York,New York,0
50,2021-02-20,New York,New York,0
51,2021-02-21,New York,New York,0
52,2021-02-22,New York,New York,0
53,2021-02-23,New York,New York,0
54,2021-02-24,New York,New York,0
55,2021-02-25,New York,New York,0
56,2021-02-26,New York,New York,0
57,2021-02-27,New York,New York,0
58,2021-02-28,New York,New York,0
59,2021-03-01,New York,New York,0
60,2021-03-02,New York,New York,0
61,2021-03-03,New York,New York,0
62,2021-03-04,New York,New York,0
63,2021-03-05,New York,New York,1
64,2021-03-06,New York,New York,1
65,2021-03-07,New York,New York,1
66,2021-03-08,New York,New York,3
67,2021-03-09,New York,New York,4
68,2021-03-10,New York,New York,8
69,2021-03-11,New York,New York,8
70,2021-03-12,New York,New York,11
71,2021-03-13,New York,New York,17
72,2021-03-14,New York,New York,18
73,2021-03-15,New York,New York,39
74,2021-03-16,New York,New York,48
75,2021-03-17,New York,New York,71
76,2021-03-18,New York,New York,72
77,2021-03-19,New York,New York,111
78,2021-03-20,New York,New York,277
79,2021-03-21,New York,New York,590
80,2021-03-22,New York,New York,1038
81,2021-03-23,New York,New York,1314
82,2021-03-24,New York,New York,1863
83,2021-03-25,New York,New York,2072
84,2021-03-26,New York,New York,2572
85,2021-03-27,New York,New York,2887
86,2021-03-28,New York,New York,3616
87,2021-03-29,New York,New York,4046
88,2021-03-30,New York,New York,4478
89,2021-03-31,New York,New York,5237
90,2021-04-01,New York,New York,5582
91,2021-04-02,New York,New York,6060
92,2021-04-03,New York,New York,6539
93,2021-04-04,New York,New York,7022
94,2021-04-05,New York,New York,7398
95,2021-04-06,New York,New York,8452
96,2021-04-07,New York,New York,9300
97,2021-04-08,New York,New York,9898
98,2021-04-09,New York,New York,10440
99,2021-04-10,New York,New York,11012
100,2021-04-11,New York,New York,11504
101,2021-04-12,New York,New York,12106
102,2021-04-13,New York,New York,12722
103,2021-04-14,New York,New York,13437
104,2021-04-15,New York,New York,14501
105,2021-04-16,New York,New York,14880
106,2021-04-17,New York,New York,16617
107,2021-04-18,New York,New York,17091
108,2021-04-19,New York,New York,17490
109,2021-04-20,New York,New York,17932
110,2021-04-21,New York,New York,18220
111,2021-04-22,New York,New York,18468
112,2021-04-23,New York,New York,18699
113,2021-04-24,New York,New York,19025
114,2021-04-25,New York,New York,19348
115,2021-04-26,New York,New York,19854
116,2021-04-27,New York,New York,20280
117,2021-04-28,New York,New York,20773
118,2021-04-29,New York,New York,21097
119,2021-04-30,New York,New York,21312
120,2021-05-01,New York,New York,21604
121,2021-05-02,New York,New York,21920
122,2021-05-03,New York,New York,22175
123,2021-05-04,New York,New York,22496
124,2021-05-05,New York,New York,22900
125,2021-05-06,New York,New York,23054
126,2021-05-07,New York,New York,23257
127,2021-05-08,New York,New York,23529
128,2021-05-09,New York,New York,23730
129,2021-05-10,New York,New York,23881
130,2021-05-11,New York,New York,23977
131,2021-05-12,New York,New York,24062
132,2021-05-13,New York,New York,24191
133,2021-05-14,New York,New York,24348
134,2021-05-15,New York,New York,24525
135,2021-05-16,New York,New York,24832
136,2021-05-17,New York,New York,24982
137,2021-05-18,New York,New York,25216
138,2021-05-19,New York,New York,25293
139,2021-05-20,New York,New York,25391
140,2021-05-21,New York,New York,25522
141,2021-05-22,New York,New York,25672
142,2021-05-23,New York,New York,25806
143,2021-05-24,New York,New York,25909
144,2021-05-25,New York,New York,26009
145,2021-05-26,New York,New York,26092
146,2021-05-27,New York,New York,26213
147,2021-05-28,New York,New York,26347
148,2021-05-29,New York,New York,26480
149,2021-05-30,New York,New York,26576
150,2021-05-31,New York,New York,26653
151,2021-06-01,New York,New York,26721
152,2021-06-02,New York,New York,26814
153,2021-06-03,New York,New York,26886
154,2021-06-04,New York,New York,26968
155,2021-06-05,New York,New York,27037
156,2021-06-06,New York,New York,27122
157,2021-06-07,New York,New York,27178
158,2021-06-08,New York,New York,27217
159,2021-06-09,New York,New York,27258
160,2021-06-10,New York,New York,27324
161,2021-06-11,New York,New York,27384
162,2021-06-12,New York,New York,27452
163,2021-06-13,New York,New York,27529
164,2021-06-14,New York,New York,27573
165,2021-06-15,New York,New York,27627
166,2021-06-16,New York,New York,27677
167,2021-06-17,New York,New York,27708
168,2021-06-18,New York,New York,27760
169,2021-06-19,New York,New York,27824
170,2021-06-20,New York,New York,27891
171,2021-06-21,New York,New York,27966
172,2021-06-22,New York,New York,28017
173,2021-06-23,New York,New York,28075
174,2021-06-24,New York,New York,28132
175,2021-06-25,New York,New York,28192
176,2021-06-26,New York,New York,28250
177,2021-06-27,New York,New York,28331
178,2021-06-28,New York,New York,28380
179,2021-06-29,New York,New York,28401
180,2021-06-30,New York,New York,28447
181,2021-07-01,New York,New York,28518
182,2021-07-02,New York,New York,28596
183,2021-07-03,New York,New York,28698
184,2021-07-04,New York,New York,28760
185,2021-07-05,New York,New York,28804
186,2021-07-06,New York,New York,28870
187,2021-07-07,New York,New York,28920
188,2021-07-08,New York,New York,28920
189,2021-07-09,New York,New York,29029
190,2021-07-10,New York,New York,29109
191,2021-07-11,New York,New York,29165
192,2021-07-12,New York,New York,29237
193,2021-07-13,New York,New York,29302
194,2021-07-14,New York,New York,29363
195,2021-07-15,New York,New York,29442
196,2021-07-16,New York,New York,29516
197,2021-07-17,New York,New York,29590
198,2021-07-18,New York,New York,29675
199,2021-07-19,New York,New York,29731
200,2021-07-20,New York,New York,29796
201,2021-07-21,New York,New York,29867
202,2021-07-22,New York,New York,29943
203,2021-07-23,New York,New York,30033
204,2021-07-24,New York,New York,30097
205,2021-07-25,New York,New York,30161
206,2021-07-26,New York,New York,30193
207,2021-07-27,New York,New York,30250
208,2021-07-28,New York,New York,30280
209,2021-07-29,New York,New York,30329
210,2021-07-30,New York,New York,30399
211,2021-07-31,New York,New York,30458
212,2021-08-01,New York,New York,30518
213,2021-08-02,New York,New York,30564
214,2021-08-03,New York,New York,30621
215,2021-08-04,New York,New York,30677
216,2021-08-05,New York,New York,30734
217,2021-08-06,New York,New York,30799
218,2021-08-07,New York,New York,30859
219,2021-08-08,New York,New York,30921
220,2021-08-09,New York,New York,30964
221,2021-08-10,New York,New York,31016
222,2021-08-11,New York,New York,31071
223,2021-08-12,New York,New York,31147
224,2021-08-13,New York,New York,31217
225,2021-08-14,New York,New York,31279
226,2021-08-15,New York,New York,31342
227,2021-08-16,New York,New York,31398
228,2021-08-17,New York,New York,31441
229,2021-08-18,New York,New York,31505
230,2021-08-19,New York,New York,31541
231,2021-08-20,New York,New York,31603
232,2021-08-21,New York,New York,31661
233,2021-08-22,New York,New York,31708
234,2021-08-23,New York,New York,31752
235,2021-08-24,New York,New York,31796
236,2021-08-25,New York,New York,31837
237,2021-08-26,New York,New York,31885
238,2021-08-27,New York,New York,31935
239,2021-08-28,New York,New York,31977
240,2021-08-29,New York,New York,32013
241,2021-08-30,New York,New York,32075
242,2021-08-31,New York,New York,32119
